node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry,,,directed_route_id,activity_type,,,,,
1,10142,-76.93161,38.843839,stop,,0,0,0,POINT (-76.931610 38.843839),,,,poi,,,,,
2,10344,-77.021905,38.905638,stop,,0,0,0,POINT (-77.021905 38.905638),,,,poi,,,,,
3,10352,-77.129111,38.799263,stop,,0,0,0,POINT (-77.129111 38.799263),,,,poi,,,,,
4,10776,-77.074955,38.793895,stop,,0,0,0,POINT (-77.074955 38.793895),,,,poi,,,,,
5,11332,-77.071954,38.895493,stop,,0,0,0,POINT (-77.071954 38.895493),,,,poi,,,,,
6,11602,-77.228654,38.883146,stop,,0,0,0,POINT (-77.228654 38.883146),,,,poi,,,,,
7,11610,-77.271363,38.877881,stop,,0,0,0,POINT (-77.271363 38.877881),,,,poi,,,,,
8,11731,-76.911011,39.011067,stop,,0,0,0,POINT (-76.911011 39.011067),,,,poi,,,,,
9,11733,-76.928197,38.9784,stop,,0,0,0,POINT (-76.928197 38.978400),,,,poi,,,,,
10,11886,-76.969522,38.955028,stop,,0,0,0,POINT (-76.969522 38.955028),,,,poi,,,,,
11,12282,-77.156567,38.886042,stop,,0,0,0,POINT (-77.156567 38.886042),,,,poi,,,,,
12,12488,-77.084823,38.891331,stop,,0,0,0,POINT (-77.084823 38.891331),,,,poi,,,,,
13,12631,-77.11155,38.882238,stop,,0,0,0,POINT (-77.111550 38.882238),,,,poi,,,,,
14,12648,-77.094987,38.887176,stop,,0,0,0,POINT (-77.094987 38.887176),,,,poi,,,,,
15,12872,-77.006402,38.89777,stop,,0,0,0,POINT (-77.006402 38.897770),,,,poi,,,,,
16,12874,-77.016312,38.896121,stop,,0,0,0,POINT (-77.016312 38.896121),,,,poi,,,,,
17,12900,-77.005892,38.885669,stop,,0,0,0,POINT (-77.005892 38.885669),,,,poi,,,,,
18,12906,-77.028174,38.887587,stop,,0,0,0,POINT (-77.028174 38.887587),,,,poi,,,,,
19,12922,-77.103809,38.883074,stop,,0,0,0,POINT (-77.103809 38.883074),,,,poi,,,,,
20,12926,-77.062795,38.884612,stop,,0,0,0,POINT (-77.062795 38.884612),,,,poi,,,,,
21,12928,-77.053777,38.869474,stop,,0,0,0,POINT (-77.053777 38.869474),,,,poi,,,,,
22,12930,-77.059142,38.862961,stop,,0,0,0,POINT (-77.059142 38.862961),,,,poi,,,,,
23,1305,-76.913313,38.889571,stop,,0,0,0,POINT (-76.913313 38.889571),,,,poi,,,,,
24,13107,-76.89329,38.886702,stop,,0,0,0,POINT (-76.893290 38.886702),,,,poi,,,,,
25,13986,-77.053434,38.814052,stop,,0,0,0,POINT (-77.053434 38.814052),,,,poi,,,,,
26,13995,-77.060796,38.806506,stop,,0,0,0,POINT (-77.060796 38.806506),,,,poi,,,,,
27,14118,-77.188871,38.900738,stop,,0,0,0,POINT (-77.188871 38.900738),,,,poi,,,,,
28,1418,-77.029169,38.917015,stop,,0,0,0,POINT (-77.029169 38.917015),,,,poi,,,,,
29,14816,-77.168487,38.766196,stop,,0,0,0,POINT (-77.168487 38.766196),,,,poi,,,,,
30,16051,-77.053097,39.061743,stop,,0,0,0,POINT (-77.053097 39.061743),,,,poi,,,,,
31,20078,-77.032307,38.993658,stop,,0,0,0,POINT (-77.032307 38.993658),,,,poi,,,,,
32,21029,-77.042667,39.015465,stop,,0,0,0,POINT (-77.042667 39.015465),,,,poi,,,,,
33,21110,-76.911802,38.827022,stop,,0,0,0,POINT (-76.911802 38.827022),,,,poi,,,,,
34,2124,-76.890005,38.933994,stop,,0,0,0,POINT (-76.890005 38.933994),,,,poi,,,,,
35,22094,-77.112782,39.047162,stop,,0,0,0,POINT (-77.112782 39.047162),,,,poi,,,,,
36,25426,-76.947716,38.898313,stop,,0,0,0,POINT (-76.947716 38.898313),,,,poi,,,,,
37,25552,-77.032454,38.928711,stop,,0,0,0,POINT (-77.032454 38.928711),,,,poi,,,,,
38,25553,-77.024252,38.936255,stop,,0,0,0,POINT (-77.024252 38.936255),,,,poi,,,,,
39,2640,-77.096948,39.000062,stop,,0,0,0,POINT (-77.096948 39.000062),,,,poi,,,,,
40,2658,-76.870445,38.946912,stop,,0,0,0,POINT (-76.870445 38.946912),,,,poi,,,,,
41,3034,-76.955988,38.965252,stop,,0,0,0,POINT (-76.955988 38.965252),,,,poi,,,,,
42,308,-77.021927,38.914546,stop,,0,0,0,POINT (-77.021927 38.914546),,,,poi,,,,,
43,3542,-77.103838,39.029243,stop,,0,0,0,POINT (-77.103838 39.029243),,,,poi,,,,,
44,3969,-77.120792,39.062389,stop,,0,0,0,POINT (-77.120792 39.062389),,,,poi,,,,,
45,39924,-77.208304,38.925069,stop,,0,0,0,POINT (-77.208304 38.925069),,,,poi,,,,,
46,39925,-77.221713,38.920304,stop,,0,0,0,POINT (-77.221713 38.920304),,,,poi,,,,,
47,39926,-77.232555,38.919564,stop,,0,0,0,POINT (-77.232555 38.919564),,,,poi,,,,,
48,39927,-77.24088,38.928544,stop,,0,0,0,POINT (-77.240880 38.928544),,,,poi,,,,,
49,39928,-77.337699,38.947134,stop,,0,0,0,POINT (-77.337699 38.947134),,,,poi,,,,,
50,4271,-77.050776,39.038565,stop,,0,0,0,POINT (-77.050776 39.038565),,,,poi,,,,,
51,4364,-77.085767,38.960997,stop,,0,0,0,POINT (-77.085767 38.960997),,,,poi,,,,,
52,4387,-77.094151,38.984431,stop,,0,0,0,POINT (-77.094151 38.984431),,,,poi,,,,,
53,4567,-77.002981,38.907413,stop,,0,0,0,POINT (-77.002981 38.907413),,,,poi,,,,,
54,4613,-76.937662,38.890418,stop,,0,0,0,POINT (-76.937662 38.890418),,,,poi,,,,,
55,4655,-76.98786,38.845379,stop,,0,0,0,POINT (-76.987860 38.845379),,,,poi,,,,,
56,4664,-76.868498,38.893586,stop,,0,0,0,POINT (-76.868498 38.893586),,,,poi,,,,,
57,4697,-76.84454,38.900269,stop,,0,0,0,POINT (-76.844540 38.900269),,,,poi,,,,,
58,4710,-76.994474,38.933232,stop,,0,0,0,POINT (-76.994474 38.933232),,,,poi,,,,,
59,4905,-77.05235,38.925,stop,,0,0,0,POINT (-77.052350 38.925000),,,,poi,,,,,
60,4912,-77.058624,38.935852,stop,,0,0,0,POINT (-77.058624 38.935852),,,,poi,,,,,
61,4941,-77.063716,38.944519,stop,,0,0,0,POINT (-77.063716 38.944519),,,,poi,,,,,
62,4956,-77.044428,38.911129,stop,,0,0,0,POINT (-77.044428 38.911129),,,,poi,,,,,
63,5017,-77.0216,38.884886,stop,,0,0,0,POINT (-77.021600 38.884886),,,,poi,,,,,
64,5030,-76.935569,38.907945,stop,,0,0,0,POINT (-76.935569 38.907945),,,,poi,,,,,
65,5110,-76.977168,38.885982,stop,,0,0,0,POINT (-76.977168 38.885982),,,,poi,,,,,
66,5305,-77.001864,38.951808,stop,,0,0,0,POINT (-77.001864 38.951808),,,,poi,,,,,
67,5635,-77.039502,38.903297,stop,,0,0,0,POINT (-77.039502 38.903297),,,,poi,,,,,
68,5660,-77.079299,38.947849,stop,,0,0,0,POINT (-77.079299 38.947849),,,,poi,,,,,
69,5759,-77.004749,38.876517,stop,,0,0,0,POINT (-77.004749 38.876517),,,,poi,,,,,
70,6479,-76.99501,38.884148,stop,,0,0,0,POINT (-76.995010 38.884148),,,,poi,,,,,
71,6553,-76.985397,38.880874,stop,,0,0,0,POINT (-76.985397 38.880874),,,,poi,,,,,
72,6671,-76.995682,38.920778,stop,,0,0,0,POINT (-76.995682 38.920778),,,,poi,,,,,
73,6751,-76.995325,38.862117,stop,,0,0,0,POINT (-76.995325 38.862117),,,,poi,,,,,
74,6963,-77.017421,38.975432,stop,,0,0,0,POINT (-77.017421 38.975432),,,,poi,,,,,
75,7333,-77.015536,38.884981,stop,,0,0,0,POINT (-77.015536 38.884981),,,,poi,,,,,
76,7376,-77.017189,38.876478,stop,,0,0,0,POINT (-77.017189 38.876478),,,,poi,,,,,
77,7474,-77.021527,38.898354,stop,,0,0,0,POINT (-77.021527 38.898354),,,,poi,,,,,
78,7477,-77.021592,38.893907,stop,,0,0,0,POINT (-77.021592 38.893907),,,,poi,,,,,
79,7588,-77.027777,38.898327,stop,,0,0,0,POINT (-77.027777 38.898327),,,,poi,,,,,
80,7671,-77.027896,38.893789,stop,,0,0,0,POINT (-77.027896 38.893789),,,,poi,,,,,
81,7681,-76.975003,38.841047,stop,,0,0,0,POINT (-76.975003 38.841047),,,,poi,,,,,
82,7686,-76.956314,38.851164,stop,,0,0,0,POINT (-76.956314 38.851164),,,,poi,,,,,
83,7812,-77.031958,38.901335,stop,,0,0,0,POINT (-77.031958 38.901335),,,,poi,,,,,
84,7932,-77.039482,38.901366,stop,,0,0,0,POINT (-77.039482 38.901366),,,,poi,,,,,
85,7993,-77.146689,39.085452,stop,,0,0,0,POINT (-77.146689 39.085452),,,,poi,,,,,
86,8040,-77.050026,38.900705,stop,,0,0,0,POINT (-77.050026 38.900705),,,,poi,,,,,
87,9360,-77.164761,39.11999,stop,,0,0,0,POINT (-77.164761 39.119990),,,,poi,,,,,
88,9720,-77.050346,38.857817,stop,,0,0,0,POINT (-77.050346 38.857817),,,,poi,,,,,
89,9838,-77.043475,38.853003,stop,,0,0,0,POINT (-77.043475 38.853003),,,,poi,,,,,
90,9880,-77.070831,38.800345,stop,,0,0,0,POINT (-77.070831 38.800345),,,,poi,,,,,
91,999,-76.915104,38.916552,stop,,0,0,0,POINT (-76.915104 38.916552),,,,poi,,,,,
100001,BLUE.0.10352,-77.129211,38.799163,directed_route_stop,,0,0,0,POINT (-77.129211 38.799163),,,"BLUE,0",,,,,,
100002,BLUE.0.11332,-77.072054,38.895393,directed_route_stop,,0,0,0,POINT (-77.072054 38.895393),,,"BLUE,0",,,,,,
100003,BLUE.0.12900,-77.005992,38.885569,directed_route_stop,,0,0,0,POINT (-77.005992 38.885569),,,"BLUE,0",,,,,,
100004,BLUE.0.12906,-77.028274,38.887487,directed_route_stop,,0,0,0,POINT (-77.028274 38.887487),,,"BLUE,0",,,,,,
100005,BLUE.0.12926,-77.062895,38.884512,directed_route_stop,,0,0,0,POINT (-77.062895 38.884512),,,"BLUE,0",,,,,,
100006,BLUE.0.12928,-77.053877,38.869374,directed_route_stop,,0,0,0,POINT (-77.053877 38.869374),,,"BLUE,0",,,,,,
100007,BLUE.0.12930,-77.059242,38.862861,directed_route_stop,,0,0,0,POINT (-77.059242 38.862861),,,"BLUE,0",,,,,,
100008,BLUE.0.1305,-76.913413,38.889471,directed_route_stop,,0,0,0,POINT (-76.913413 38.889471),,,"BLUE,0",,,,,,
100009,BLUE.0.13107,-76.89339,38.886602,directed_route_stop,,0,0,0,POINT (-76.893390 38.886602),,,"BLUE,0",,,,,,
100010,BLUE.0.13986,-77.053534,38.813952,directed_route_stop,,0,0,0,POINT (-77.053534 38.813952),,,"BLUE,0",,,,,,
100011,BLUE.0.13995,-77.060896,38.806406,directed_route_stop,,0,0,0,POINT (-77.060896 38.806406),,,"BLUE,0",,,,,,
100012,BLUE.0.14816,-77.168587,38.766096,directed_route_stop,,0,0,0,POINT (-77.168587 38.766096),,,"BLUE,0",,,,,,
100013,BLUE.0.4613,-76.937762,38.890318,directed_route_stop,,0,0,0,POINT (-76.937762 38.890318),,,"BLUE,0",,,,,,
100014,BLUE.0.4664,-76.868598,38.893486,directed_route_stop,,0,0,0,POINT (-76.868598 38.893486),,,"BLUE,0",,,,,,
