link_id,name,from_node_id,to_node_id,directed_route_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,VDF_FFTT1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_frequency1,VDF_FFTT2,VDF_cap2,VDF_alpha2,VDF_beta2,VDF_frequency2,VDF_FFTT3,VDF_cap3,VDF_alpha3,VDF_beta3,VDF_frequency3,VDF_FFTT4,VDF_cap4,VDF_alpha4,VDF_beta4,VDF_frequency4,VDF_FFTT5,VDF_cap5,VDF_alpha5,VDF_beta5,VDF_frequency5,geometry
,BLUE.0.10352.entrance,3,100001,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.129111 38.799263, -77.129211 38.799163)"
,BLUE.0.10352.exit,100001,3,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.129211 38.799163, -77.129111 38.799263)"
,BLUE.0.11332.entrance,5,100002,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.071954 38.895493, -77.072054 38.895393)"
,BLUE.0.11332.exit,100002,5,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.072054 38.895393, -77.071954 38.895493)"
,BLUE.0.12900.entrance,17,100003,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.005892 38.885669, -77.005992 38.885569)"
,BLUE.0.12900.exit,100003,17,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.005992 38.885569, -77.005892 38.885669)"
,BLUE.0.12906.entrance,18,100004,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.028174 38.887587, -77.028274 38.887487)"
,BLUE.0.12906.exit,100004,18,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.028274 38.887487, -77.028174 38.887587)"
,BLUE.0.12926.entrance,20,100005,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.062795 38.884612, -77.062895 38.884512)"
,BLUE.0.12926.exit,100005,20,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.062895 38.884512, -77.062795 38.884612)"
,BLUE.0.12928.entrance,21,100006,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.053777 38.869474, -77.053877 38.869374)"
,BLUE.0.12928.exit,100006,21,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.053877 38.869374, -77.053777 38.869474)"
,BLUE.0.12930.entrance,22,100007,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.059142 38.862961, -77.059242 38.862861)"
,BLUE.0.12930.exit,100007,22,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.059242 38.862861, -77.059142 38.862961)"
,BLUE.0.1305.entrance,23,100008,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.913313 38.889571, -76.913413 38.889471)"
